year,jday,precip,high,low
2020,1,8.40000,6.80000,-0.20000
2020,2,0.00000,4.60000,-0.30000
2020,3,0.00000,9.00000,-0.50000
2020,4,0.00000,6.30000,-3.00000
2020,5,1.30000,1.30000,-5.00000
2020,6,0.00000,4.60000,-5.10000
2020,7,0.00000,8.40000,-1.40000
2020,8,0.00000,5.50000,-1.10000
2020,9,2.80000,0.30000,-4.10000
2020,10,0.30000,-0.60000,-8.10000
2020,11,2.30000,3.50000,-5.80000
2020,12,0.00000,2.30000,-2.80000
2020,13,0.00000,1.80000,-4.80000
2020,14,1.30000,2.80000,-5.40000
2020,15,0.00000,-2.80000,-10.40000
2020,16,0.00000,9.40000,-5.70000
2020,17,0.30000,2.80000,-5.30000
2020,18,0.00000,0.90000,-6.70000
2020,19,0.00000,-0.70000,-9.20000
2020,20,0.00000,1.70000,-5.60000
2020,21,0.80000,7.10000,-1.60000
2020,22,0.00000,5.90000,0.90000
2020,23,0.00000,10.10000,0.30000
2020,24,5.10000,6.90000,-0.10000
2020,25,0.00000,7.80000,0.00000
2020,26,3.80000,9.20000,1.70000
2020,27,0.00000,7.20000,0.40000
2020,28,5.60000,7.00000,0.80000
2020,29,0.00000,4.40000,0.50000
2020,30,2.80000,3.80000,0.20000
2020,31,0.00000,8.40000,-0.20000
2020,32,0.00000,12.80000,-2.50000
2020,33,0.00000,10.60000,-4.50000
2020,34,0.00000,0.40000,-9.10000
2020,35,0.00000,-1.30000,-11.00000
2020,36,0.00000,3.20000,-3.90000
2020,37,0.00000,9.10000,1.80000
2020,38,0.00000,11.00000,5.00000
2020,39,0.00000,6.90000,-1.30000
2020,40,0.00000,4.20000,-2.60000
2020,41,0.00000,4.40000,-4.10000
2020,42,0.00000,7.60000,-5.50000
2020,43,0.00000,5.90000,-4.70000
2020,44,0.00000,9.70000,-5.10000
2020,45,0.00000,5.50000,-6.10000
2020,46,0.50000,7.30000,-4.80000
2020,47,6.60000,5.60000,-0.50000
2020,48,0.00000,2.40000,-3.90000
2020,49,0.00000,3.40000,-7.10000
2020,50,0.00000,1.70000,-7.70000
2020,51,0.00000,4.70000,-9.70000
2020,52,0.00000,7.80000,-8.70000
2020,53,0.00000,10.40000,-6.90000
2020,54,0.00000,12.70000,-7.00000
2020,55,0.00000,5.00000,-3.40000
2020,56,0.00000,5.70000,-8.50000
2020,57,0.00000,11.60000,-6.80000
2020,58,0.00000,11.70000,-5.60000
2020,59,0.00000,15.60000,-5.10000
2020,60,0.00000,9.80000,-2.40000
2020,61,0.00000,6.20000,-5.20000
2020,62,0.00000,8.00000,-5.20000
2020,63,0.00000,12.70000,-0.40000
2020,64,0.00000,14.30000,-1.70000
2020,65,0.00000,20.90000,-2.60000
2020,66,0.00000,19.90000,0.80000
2020,67,4.30000,16.20000,2.70000
2020,68,0.30000,10.70000,1.50000
2020,69,0.00000,8.80000,-0.20000
2020,70,0.00000,12.40000,-3.30000
2020,71,0.00000,16.50000,-4.10000
2020,72,0.00000,10.50000,-2.80000
2020,73,0.00000,12.10000,-7.30000
2020,74,12.40000,10.40000,3.50000
2020,75,4.60000,11.80000,1.80000
2020,76,0.00000,14.40000,2.60000
2020,77,1.80000,14.20000,3.50000
2020,78,2.30000,10.40000,1.10000
2020,79,0.00000,11.10000,-0.70000
2020,80,0.50000,13.40000,2.70000
2020,81,0.00000,13.50000,-0.10000
2020,82,0.00000,14.30000,1.90000
2020,83,1.30000,12.50000,-0.30000
2020,84,0.00000,10.50000,1.20000
2020,85,0.30000,8.10000,-1.20000
2020,86,0.00000,7.30000,-4.20000
2020,87,0.00000,8.70000,-4.00000
2020,88,0.00000,12.10000,-1.30000
2020,89,0.50000,11.70000,-0.20000
2020,90,0.30000,14.40000,-1.40000
2020,91,2.00000,15.90000,2.10000
2020,92,0.00000,4.20000,-1.40000
2020,93,0.00000,7.10000,-4.70000
2020,94,0.00000,10.50000,-7.00000
2020,95,0.00000,15.30000,-6.60000
2020,96,0.00000,15.00000,-1.80000
2020,97,1.00000,14.50000,2.10000
2020,98,0.00000,17.20000,0.50000
2020,99,0.00000,19.40000,1.80000
2020,100,0.00000,22.00000,-0.60000
2020,101,0.00000,20.80000,3.50000
2020,102,0.00000,16.40000,5.80000
2020,103,0.00000,10.00000,-3.20000
2020,104,0.00000,8.10000,-3.80000
2020,105,0.00000,13.60000,-4.60000
2020,106,0.00000,14.20000,2.10000
2020,107,0.00000,8.60000,-2.60000
2020,108,0.00000,16.00000,-5.10000
2020,109,0.00000,19.10000,-3.50000
2020,110,0.00000,18.30000,3.40000
2020,111,0.00000,19.70000,0.60000
2020,112,0.00000,21.50000,2.30000
2020,113,0.00000,18.40000,7.00000
2020,114,0.00000,15.90000,6.80000
2020,115,0.00000,17.40000,3.40000
2020,116,0.00000,20.30000,2.20000
2020,117,0.00000,21.60000,9.20000
2020,118,0.00000,19.40000,5.00000
2020,119,0.00000,22.40000,5.60000
2020,120,0.00000,30.50000,4.50000
2020,121,0.00000,24.50000,10.50000
2020,122,0.00000,20.10000,8.10000
2020,123,0.00000,24.00000,4.70000
2020,124,0.00000,16.20000,6.70000
2020,125,0.00000,18.00000,3.00000
2020,126,0.00000,23.90000,1.50000
2020,127,0.00000,20.00000,4.50000
2020,128,0.00000,16.60000,0.00000
2020,129,0.00000,21.60000,-1.50000
2020,130,0.00000,23.40000,5.40000
2020,131,0.00000,27.40000,3.60000
2020,132,0.00000,26.00000,10.30000
2020,133,0.00000,19.70000,7.80000
2020,134,0.00000,15.10000,5.70000
2020,135,2.30000,15.80000,6.60000
2020,136,0.30000,16.80000,5.40000
2020,137,0.00000,19.90000,2.20000
2020,138,0.00000,25.40000,10.20000
2020,139,0.00000,23.10000,9.10000
2020,140,4.30000,11.40000,6.10000
2020,141,5.10000,12.70000,6.10000
2020,142,3.00000,17.20000,5.60000
2020,143,8.10000,8.10000,4.20000
2020,144,0.30000,15.90000,2.60000
2020,145,0.00000,18.70000,3.80000
2020,146,0.00000,23.30000,4.10000
2020,147,0.00000,24.20000,11.60000
2020,148,0.00000,26.20000,13.50000
2020,149,0.00000,30.40000,8.60000
2020,150,0.00000,34.40000,13.00000
2020,151,0.00000,34.50000,15.30000
2020,152,0.00000,24.40000,13.00000
2020,153,0.00000,23.70000,10.60000
2020,154,0.00000,27.40000,12.40000
2020,155,0.00000,28.80000,11.90000
