year,no3_ppm,no3_kg_ha,sd_ppm,n_plots
2013,9.329830545774646,158.9803125,7.45513771794213,4
2014,13.95484521713615,237.7905625,4.833155600153442,4
2015,6.829588468309859,116.3761875,2.1337869856225598,4
2016,4.018254841549295,68.4710625,0.92728755541178,4
2017,5.718284184272299,97.4395625,2.5520337919847447,4
2018,12.610401995305164,214.88125000000002,7.651500733798508,4
2019,13.31046434859155,226.81031249999998,7.049144805248627,4
