depth_mm,bd_g_cm3,no3_n_mg_kg,olsen_p_mg_kg
150.0,1.325,16.674999999999997,53.35
310.0,1.4,20.75,6.875
610.0,1.45,7.325,1.875
910.0,1.4,5.625,0.875
1220.0,1.375,5.6,1.225
