year,crop,yld_t_ha,irr_mm,et_mm,pet_mm,perc_mm,n_app,nfix,nup,no3l,nstrs_days
2013,CSIL,21.8115,604.200,677.594,1357.328,104.597,569.400,0.000,310.871,68.266,0.000
2014,BARL,6.5053,400.800,561.993,1380.930,108.083,936.000,0.000,250.191,74.729,0.000
2015,ALFA,9.8732,616.330,890.911,1450.327,21.336,0.000,372.868,607.321,21.994,0.000
2016,ALFA,15.7881,652.750,930.195,1409.350,46.758,0.000,309.142,523.352,12.077,0.000
2017,ALFA,16.3796,585.520,856.836,1374.393,0.173,0.000,386.472,492.557,0.029,0.000
2018,CSIL,25.4416,558.850,724.347,1448.630,102.263,362.030,0.000,363.462,70.841,0.000
2019,BARL,6.9259,520.800,577.307,1334.965,154.843,222.630,0.000,266.425,125.632,0.000
2020,BARL,6.7100,304.800,470.288,1498.386,36.340,350.000,0.000,258.308,34.055,0.000
