 a10_single_hru            SWAT+ 2026-06-16        MODULAR Rev 2026.62                                    
  jday,   mon,   day,    yr,   unit , gis_id , name           ,         in_sed ,        out_sed ,       fp_dep   ,      ch_dep    ,    bank_ero    ,    bed_ero     ,    in_no3      ,  in_orgn       , out_no3       ,out_orgn        , fp_no3        ,bank_no3       ,bed_no3        ,fp_orgn        ,ch_orgn        ,bank_orgn      ,bed_orgn       ,in_solp        ,in_orgp        ,out_solp       ,out_orgp       ,fp_solp        ,bank_solp      ,bed_solp       ,fp_orgp        ,ch_orgp        ,bank_orgp      ,bed_orgp       ,no3_orgn       ,solp_orgp      
      ,      ,      ,      ,        ,        ,                ,           tons ,           tons ,         tons   ,        tons    ,        tons    ,       tons     ,      tons      ,     tons       ,    tons       ,   tons         ,  tons         ,  tons         ,  tons         ,  tons          ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         
365,12,31,2025,       1,     1,a10_single_hru           ,172.963,231.484,0.00000,6.50229,65.0229,0.00000,48.0753,836.774,16.4753,868.374,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.07886,141.020,0.187120E-3,143.099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,31.5999,2.07867
