 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
       jday,         mon,         day,          yr ,  name      ,  type,              flo,            sed,           orgn,           sedp,            no3,           solp,           chla,            nh3,            no2,           cbod,            dox,            san,            sil,            cla,            sag,            lag,            grv,           null
           ,            ,            ,             ,            ,      ,            m^3/s,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,           degc
365,12,31,2025,rtu10           ,ru      ,.119E+06,29.5,182.,51.1,.231E+04,139.,.00,.00,.00,.00,.00,5.08,5.31,2.01,20.1,26.5,.00,.166
