 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jday,   mon,   day,    yr,   unit , gis_id , name           ,          lai,       bioms,       yield,     residue,     sol_tmp,       strsw,       strsa,     strstmp,       strsn,       strsp,        nplt,       percn,       pplnt,         tmx,         tmn,       tmpav,     solarad,      wndspd,        rhum,     phubas0,     lai_max,      bm_max,     bm_grow,       c_gro
      ,      ,      ,      ,        ,        ,                ,    m**2/m**2,        kgha,        kgha,        kgha,        degc,         ---,         ---,         ---,         ---,         ---,        kgha,        kgha,        kgha,        degc,        degc,        degc,      mj/m^2,         m/s,        frac,        degc,   m**2/m**2,       kg/ha,       kg/ha,       kg/ha
365,12,31,2025,1,1,hru1            ,.561,.100E+04,.00,.153E+04,9.75,.00,.00,15.2,69.8,.00,.00,.00,.00,17.0,3.00,10.0,17.8,2.93,.539,.236,.00,.00,.00,.00
