 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jday,   mon,   day,    yr,     unit,   gis_id,   name        ,          area ,        precip ,          evap ,          seep ,         flo_stor,       sed_stor,      orgn_stor,      sedp_stor,       no3_stor,      solp_stor,      chla_stor,       nh3_stor,       no2_stor,      cbod_stor,       dox_stor,       san_stor,       sil_stor,       cla_stor,       sag_stor,       lag_stor,       grv_stor,           null,         flo_in,         sed_in,        orgn_in,        sedp_in,         no3_in,        solp_in,        chla_in,         nh3_in,         no2_in,        cbod_in,         dox_in,         san_in,         sil_in,         cla_in,         sag_in,         lag_in,         grv_in,           null,        flo_out,        sed_out,       orgn_out,       sedp_out,        no3_out,       solp_out,       chla_out,        nh3_out,        no2_out,       cbod_out,        dox_out,        san_out,        sil_out,        cla_out,        sag_out,        lag_out,        grv_out,           null,     water_temp
      ,      ,      ,      ,         ,         ,               ,            ha ,           m^3 ,           m^3 ,           m^3 ,            m^3,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,               ,          m^3/s,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,               ,          m^3/s,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,               ,           degc
365,12,31,2025,1,1,cha1            ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.189E-02,14.7,90.9,25.6,.115E+04,69.7,.00,.00,.00,.00,.00,2.54,2.66,1.00,10.0,13.3,.00,.112E+09,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,6.21
