 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
 jday,   mon,   day,    yr,    unit , gis_id , name           , grzn       , grzp       , lab_min_p  , act_sta_p  ,     fertn       ,     fertp       ,     fixn        ,     denit       ,     act_nit_n   ,     act_sta_n   ,     org_lab_p   ,     rsd_nitorg_n,     rsd_laborg_p,    no3atmo      ,    nh4atmo      ,    nuptake      ,    puptake      ,    gwtrann      ,    gwtranp      
     ,      ,      ,      ,         ,        ,                , kgha       , kgha       , kgha       , kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       
366,12,31,2020,       1,       1,a10_single_hru           ,.00,.00,-6.41,-12.8,.00,.00,.00,.00,6.92,-.166,1.18,53.3,8.58,.00,.00,70.8,13.0,.00,.00
365,12,31,2021,       1,       1,a10_single_hru           ,.00,.00,-4.54,-11.0,.00,.00,.00,.00,6.68,.759,1.12,46.2,7.36,.00,.00,53.6,9.76,.00,.00
365,12,31,2022,       1,       1,a10_single_hru           ,.00,.00,-4.89,-10.4,.00,.00,.00,.00,6.50,.369,1.08,27.6,4.35,.00,.00,41.6,7.56,.00,.00
365,12,31,2023,       1,       1,a10_single_hru           ,.00,.00,-3.96,-10.1,.00,.00,.00,.00,6.65,.647,1.11,26.8,4.32,.00,.00,34.1,6.26,.00,.00
366,12,31,2024,       1,       1,a10_single_hru           ,.00,.00,-3.65,-9.72,.00,.00,.00,.00,6.95,.725,1.16,24.0,3.83,.00,.00,30.3,5.51,.00,.00
365,12,31,2025,       1,       1,a10_single_hru           ,.00,.00,-3.36,-9.22,.00,.00,.00,.00,6.78,.435,1.13,21.6,3.45,.00,.00,27.4,5.01,.00,.00
