 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jday,   mon,   day,    yr,   unit , gis_id , name           ,         flo_in ,         geo_bf ,        flo_out ,          peakr,         sed_in,        sed_out,         washld,          bedld,            dep,        deg_btm,       deg_bank,         hc_sed,          width,          depth,          slope,        deg_btm,       deg_bank,         hc_len,      flo_in_mm ,      aqu_in_mm ,     flo_out_mm ,       sed_stor 
      ,      ,      ,      ,        ,        ,                ,          m^3/s ,          m^3/s ,          m^3/s ,          m^3/s,           tons,           tons,           tons,           tons,           tons,           tons,           tons,           tons,              m,              m,            m/m,              m,              m,              m,             mm ,             mm ,             mm ,           tons 
366,12,31,2020,1,1,cha1            ,.207E-02,.00,.00,.00,4.53,.00,.00,.00,2.26,.00,.00,.00,6.37,.377,.675E-02,.00,.00,.00,4.58,.00,.00,.00
365,12,31,2021,1,1,cha1            ,.243E-03,.00,.00,.00,.943,.00,.00,.00,.472,.00,.00,.00,6.37,.377,.675E-02,.00,.00,.00,.535,.00,.00,.00
365,12,31,2022,1,1,cha1            ,.256E-02,.00,.00,.00,18.6,.00,.00,.00,9.28,.00,.00,.00,6.37,.377,.675E-02,.00,.00,.00,5.63,.00,.00,.00
365,12,31,2023,1,1,cha1            ,.369E-02,.00,.00,.00,26.1,.00,.00,.00,13.1,.00,.00,.00,6.37,.377,.675E-02,.00,.00,.00,8.13,.00,.00,.00
366,12,31,2024,1,1,cha1            ,.111E-02,.00,.00,.00,11.1,.00,.00,.00,5.54,.00,.00,.00,6.37,.377,.675E-02,.00,.00,.00,2.46,.00,.00,.00
365,12,31,2025,1,1,cha1            ,.170E-02,.00,.00,.00,27.6,.00,.00,.00,13.8,.00,.00,.00,6.37,.377,.675E-02,.00,.00,.00,3.75,.00,.00,.00
