 a10_single_hru            SWAT+ 2026-06-16        MODULAR Rev 2026.62                                    
  jday,   mon,   day,    yr,   unit , gis_id , name           ,         in_sed ,        out_sed ,       fp_dep   ,      ch_dep    ,    bank_ero    ,    bed_ero     ,    in_no3      ,  in_orgn       , out_no3       ,out_orgn        , fp_no3        ,bank_no3       ,bed_no3        ,fp_orgn        ,ch_orgn        ,bank_orgn      ,bed_orgn       ,in_solp        ,in_orgp        ,out_solp       ,out_orgp       ,fp_solp        ,bank_solp      ,bed_solp       ,fp_orgp        ,ch_orgp        ,bank_orgp      ,bed_orgp       ,no3_orgn       ,solp_orgp      
      ,      ,      ,      ,        ,        ,                ,           tons ,           tons ,         tons   ,        tons    ,        tons    ,       tons     ,      tons      ,     tons       ,    tons       ,   tons         ,  tons         ,  tons         ,  tons         ,  tons          ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         ,  tons         
366,12,31,2020,       1,     1,a10_single_hru           ,207.122,266.017,0.00000,6.54390,65.4390,0.00000,13.9011,966.250,3.36164,976.790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.91991,158.341,0.189961E-3,160.261,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.5395,1.91972
365,12,31,2021,       1,     1,a10_single_hru           ,20.0131,78.7473,0.00000,6.52602,65.2602,0.00000,30.1490,100.105,23.6192,106.634,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.288231,16.9130,0.195657E-3,17.2011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.52972,0.288035
365,12,31,2022,       1,     1,a10_single_hru           ,274.824,333.558,0.00000,6.52602,65.2602,0.00000,148.122,1227.89,70.8218,1305.19,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.77724,206.548,0.183820E-3,209.325,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,77.3005,2.77706
365,12,31,2023,       1,     1,a10_single_hru           ,260.362,319.096,0.00000,6.52602,65.2602,0.00000,34.0695,1407.22,0.617218,1440.67,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.28032,240.020,0.176185E-3,244.301,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,33.4523,4.28014
366,12,31,2024,       1,     1,a10_single_hru           ,99.8373,158.732,0.00000,6.54390,65.4390,0.00000,26.8864,486.627,0.600013,512.914,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.22431,82.3109,0.191774E-3,83.5350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,26.2864,1.22412
365,12,31,2025,       1,     1,a10_single_hru           ,180.358,239.093,0.00000,6.52602,65.2602,0.00000,36.6406,855.480,0.283550,891.837,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.04009,145.849,0.190450E-3,147.889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,36.3570,2.03990
