 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
 jday,   mon,   day,    yr,    unit,  gis_id,  name          ,        precip,     snofall,      snomlt,    surq_gen,        latq,    wateryld,        perc,          et,     ecanopy,      eplant,       esoil,   surq_cont,          cn,     sw_init,    sw_final,      sw_ave,      sw_300,    sno_init,   sno_final,     snopack,         pet,       qtile,         irr,  surq_runon,  latq_runon,    overbank,    surq_cha,    surq_res,     surq_ls,    latq_cha,    latq_res,     latq_ls,     gwtranq,       satex,  satex_chan,   sw_change,     lagsurf,     laglatq,    lagsatex,     wet_out
     ,      ,      ,      ,        ,        ,                ,          mm  ,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,         ---,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm,          mm
366,12,31,2020,1,       0,rtu10           ,167.,16.5,22.3,4.58,.288E-02,4.58,.00,.108E+04,3.38,433.,643.,28.3,67.6,207.,170.,172.,37.7,5.80,.00,.574E-01,.137E+04,.00,897.,.00,.00,.00,28.3,.00,.00,.288E-02,.00,.00,.00,.00,.00,-37.7,9.71,.860E-01,.00,.00
365,12,31,2021,1,       0,rtu10           ,208.,23.4,19.5,.532,.275E-02,.535,.00,.108E+04,3.88,430.,643.,25.2,66.3,170.,169.,133.,36.1,.00,3.81,.598E-01,.141E+04,.00,897.,.00,.00,.00,25.2,.00,.00,.275E-02,.00,.00,.00,.00,.00,-1.04,1.13,.838E-01,.00,.00
365,12,31,2022,1,       0,rtu10           ,181.,26.4,30.2,5.63,.189E-02,5.63,.00,.108E+04,2.52,419.,662.,45.0,72.4,169.,121.,125.,36.4,3.81,.00,.332,.136E+04,.00,897.,.00,.00,.00,45.0,.00,.00,.189E-02,.00,.00,.00,.00,.00,-47.3,11.9,.579E-01,.00,.00
365,12,31,2023,1,       0,rtu10           ,217.,35.3,35.3,8.12,.333E-02,8.13,.00,.103E+04,7.97,416.,608.,31.4,69.8,121.,172.,133.,35.6,.00,.00,.323,.131E+04,.00,897.,.00,.00,.00,31.4,.00,.00,.333E-02,.00,.00,.00,.00,.00,51.0,17.2,.991E-01,.00,.00
366,12,31,2024,1,       0,rtu10           ,253.,55.6,55.6,2.46,.259E-02,2.46,.00,.110E+04,3.47,433.,665.,41.2,67.3,172.,179.,142.,35.7,.00,.00,.219,.135E+04,.00,897.,.00,.00,.00,41.2,.00,.00,.259E-02,.00,.00,.00,.00,.00,6.93,5.22,.780E-01,.00,.00
365,12,31,2025,1,       0,rtu10           ,189.,25.9,25.9,3.74,.258E-02,3.75,.00,.109E+04,2.44,444.,645.,35.4,66.9,179.,139.,132.,38.5,.00,.00,.665E-01,.138E+04,.00,897.,.00,.00,.00,35.4,.00,.00,.258E-02,.00,.00,.00,.00,.00,-39.9,7.94,.766E-01,.00,.00
