 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jda,   mon,   day,    yr,   unit  , gis_id , name    ,           sedyld,             usle,          sedorgc,          sedorgn,          sedorgp,          surqno3,          lat3no3,         surqsolp,         sedminp ,          tileno3,          no3atmo,          nh4atmo,          manurec,          manuren,          manurep,            fertc,            fertn,            fertp,        grazc_eat,        grazn_eat,        gracp_eat,        grazc_man,        grazn_man,        gracp_man,             fixn,            denit,           yieldc,           yieldn,           yieldp
     ,      ,      ,      ,         ,        ,         ,             tons,              tha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             ----,             kgha,          no3atmo,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha,             kgha
   365    12    31  2025       1       1  hru1                0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
