 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jday,   mon,   day,    yr,   unit , gis_id , name           ,          lai,       bioms,       yield,     residue,     sol_tmp,       strsw,       strsa,     strstmp,       strsn,       strsp,        nplt,       percn,       pplnt,         tmx,         tmn,       tmpav,     solarad,      wndspd,        rhum,     phubas0,     lai_max,      bm_max,     bm_grow,       c_gro
      ,      ,      ,      ,        ,        ,                ,    m**2/m**2,        kgha,        kgha,        kgha,        degc,         ---,         ---,         ---,         ---,         ---,        kgha,        kgha,        kgha,        degc,        degc,        degc,      mj/m^2,         m/s,        frac,        degc,   m**2/m**2,       kg/ha,       kg/ha,       kg/ha
366,12,31,2020,1,1,hru1            ,.580,.153E+04,.00,.248E+04,9.90,.00,.00,19.4,60.4,.00,.00,.00,.00,17.2,2.91,10.1,17.8,2.89,.537,.243,.00,.00,.00,.00
365,12,31,2021,1,1,hru1            ,.540,.135E+04,.00,.197E+04,10.1,.00,.00,9.81,62.0,.00,.00,.00,.00,17.7,3.44,10.6,17.8,2.97,.532,.247,.00,.00,.00,.00
365,12,31,2022,1,1,hru1            ,.506,955.,.00,.150E+04,8.85,.00,.00,11.0,59.7,.00,.00,.00,.00,16.0,1.98,8.97,17.8,2.95,.536,.217,.00,.00,.00,.00
365,12,31,2023,1,1,hru1            ,.585,784.,.00,.137E+04,9.36,.00,.00,19.1,76.1,.00,.00,.00,.00,16.1,2.80,9.45,17.8,2.92,.556,.219,.00,.00,.00,.00
366,12,31,2024,1,1,hru1            ,.567,731.,.00,.102E+04,9.88,.00,.00,18.4,80.6,.00,.00,.00,.00,17.3,3.12,10.2,17.8,2.90,.537,.242,.00,.00,.00,.00
365,12,31,2025,1,1,hru1            ,.589,662.,.00,853.,10.4,.00,.00,14.3,81.9,.00,.00,.00,.00,18.0,3.73,10.8,17.8,2.94,.538,.250,.00,.00,.00,.00
