 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jday,   mon,   day,    yr,     unit,   gis_id,   name        ,          area ,        precip ,          evap ,          seep ,         flo_stor,       sed_stor,      orgn_stor,      sedp_stor,       no3_stor,      solp_stor,      chla_stor,       nh3_stor,       no2_stor,      cbod_stor,       dox_stor,       san_stor,       sil_stor,       cla_stor,       sag_stor,       lag_stor,       grv_stor,           null,         flo_in,         sed_in,        orgn_in,        sedp_in,         no3_in,        solp_in,        chla_in,         nh3_in,         no2_in,        cbod_in,         dox_in,         san_in,         sil_in,         cla_in,         sag_in,         lag_in,         grv_in,           null,        flo_out,        sed_out,       orgn_out,       sedp_out,        no3_out,       solp_out,       chla_out,        nh3_out,        no2_out,       cbod_out,        dox_out,        san_out,        sil_out,        cla_out,        sag_out,        lag_out,        grv_out,           null,     water_temp
      ,      ,      ,      ,         ,         ,               ,            ha ,           m^3 ,           m^3 ,           m^3 ,            m^3,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,               ,          m^3/s,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,               ,          m^3/s,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,               ,           degc
366,12,31,2020,1,1,cha1            ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.207E-02,4.53,24.7,6.51,822.,38.9,.00,.00,.00,.00,.00,.780,.816,.308,3.08,4.07,.00,441.,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,4.51
365,12,31,2021,1,1,cha1            ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.243E-03,.943,5.58,1.57,.267E+04,55.8,.00,.00,.00,.00,.00,.153,.160,.603E-01,.602,.796,.00,-24.4,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,-.160
365,12,31,2022,1,1,cha1            ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.256E-02,18.6,107.,29.8,.205E+04,90.1,.00,.00,.00,.00,.00,3.00,3.14,1.18,11.8,15.7,.00,61.5,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,6.72
365,12,31,2023,1,1,cha1            ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.369E-02,26.1,175.,49.7,435.,85.6,.00,.00,.00,.00,.00,4.71,4.93,1.86,18.6,24.6,.00,9.41,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,5.39
366,12,31,2024,1,1,cha1            ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.111E-02,11.1,67.7,19.0,587.,83.4,.00,.00,.00,.00,.00,1.91,2.00,.753,7.53,9.96,.00,.632E+06,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,3.11
365,12,31,2025,1,1,cha1            ,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.170E-02,27.6,169.,47.4,392.,66.0,.00,.00,.00,.00,.00,4.76,4.98,1.88,18.8,24.9,.00,.126E+07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,6.21
