 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
       jday,         mon,         day,          yr ,  name      ,  type,              flo,            sed,           orgn,           sedp,            no3,           solp,           chla,            nh3,            no2,           cbod,            dox,            san,            sil,            cla,            sag,            lag,            grv,           null
           ,            ,            ,             ,            ,      ,            m^3/s,           tons,            kgN,            kgP,            kgN,            kgP,             kg,            kgN,            kgN,             kg,             kg,           tons,           tons,           tons,           tons,           tons,           tons,           degc
366,12,31,2020,rtu10           ,ru      ,.131E+06,9.06,49.4,13.0,.164E+04,77.8,.00,.00,.00,.00,.00,1.56,1.63,.616,6.16,8.15,.00,.326E-01
365,12,31,2021,rtu10           ,ru      ,.153E+05,1.89,11.2,3.14,.534E+04,112.,.00,.00,.00,.00,.00,.305,.319,.121,1.20,1.59,.00,.870
365,12,31,2022,rtu10           ,ru      ,.161E+06,37.1,213.,59.5,.410E+04,180.,.00,.00,.00,.00,.00,6.00,6.27,2.37,23.7,31.3,.00,.476
365,12,31,2023,rtu10           ,ru      ,.233E+06,52.3,349.,99.5,870.,171.,.00,.00,.00,.00,.00,9.42,9.85,3.72,37.2,49.2,.00,.883
366,12,31,2024,rtu10           ,ru      ,.705E+05,22.1,135.,38.1,.117E+04,167.,.00,.00,.00,.00,.00,3.82,3.99,1.51,15.1,19.9,.00,.737E-01
365,12,31,2025,rtu10           ,ru      ,.107E+06,55.3,337.,94.8,785.,132.,.00,.00,.00,.00,.00,9.52,9.96,3.76,37.6,49.7,.00,.201E-01
