 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
 jday,   mon,   day,    yr,    unit , gis_id , name           , grzn       , grzp       , lab_min_p  , act_sta_p  ,     fertn       ,     fertp       ,     fixn        ,     denit       ,     act_nit_n   ,     act_sta_n   ,     org_lab_p   ,     rsd_nitorg_n,     rsd_laborg_p,    no3atmo      ,    nh4atmo      ,    nuptake      ,    puptake      ,    gwtrann      ,    gwtranp      
     ,      ,      ,      ,         ,        ,                , kgha       , kgha       , kgha       , kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       ,      kgha       
365,12,31,2025,1,       0,rtu10           ,.00,.00,-4.45,-10.5,.00,.00,.00,.00,6.72,.459,1.12,33.1,5.29,.00,.00,42.8,7.81,.00,.00
