 a10_single_hru            SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jday,   mon,   day,    yr,   unit , gis_id , name           ,            flo ,         dep_wt ,           stor,          rchrg,           seep,          revap,         no3_st,           minp,           orgn,           orgp,       no3_rchg,       no3_loss,        no3_lat,       no3_seep,        flo_cha,        flo_res,         flo_ls
      ,      ,      ,      ,        ,        ,                ,              mm,              m ,             mm,             mm,             mm,             mm,        kg/ha_N,        kg/ha_P,        kg/ha_N,        kg/ha_P,        kg/ha_N,        kg/ha_N,        kg/ha_N,        kg/ha_N,             mm,             mm,             mm
366,12,31,2020,       1,     1,a10_single_hru           ,.00,24.0,.270E+04,.00,.00,22.5,.126E-06,.00,.500,.00,.00,.107E-05,.00,.00,.00,.00,.00
365,12,31,2021,       1,     1,a10_single_hru           ,.00,24.5,.268E+04,.00,.00,23.1,.278E-10,.00,.500,.00,.00,.235E-09,.00,.00,.00,.00,.00
365,12,31,2022,       1,     1,a10_single_hru           ,.00,24.9,.266E+04,.00,.00,13.4,.624E-14,.00,.500,.00,.00,.526E-13,.00,.00,.00,.00,.00
365,12,31,2023,       1,     1,a10_single_hru           ,.00,25.0,.265E+04,.00,.00,.00,.140E-17,.00,.500,.00,.00,.118E-16,.00,.00,.00,.00,.00
366,12,31,2024,       1,     1,a10_single_hru           ,.00,25.0,.265E+04,.00,.00,.00,.311E-21,.00,.500,.00,.00,.264E-20,.00,.00,.00,.00,.00
365,12,31,2025,       1,     1,a10_single_hru           ,.00,25.0,.265E+04,.00,.00,.00,.686E-25,.00,.500,.00,.00,.578E-24,.00,.00,.00,.00,.00
